combined_label,sentence,cosine_score,keyword_score,bonus_score_response,bonus_score_adapted,rarity_score,total_score,doc_id,B_COUNTRY_ALPHA,A_SESSION,A_YEAR,speaker_name,speaker_post,embedding_hash,broad_qid,question_text,original_wvc_hypothesis,hypothesis_recoding_action,recoded_wvc_hypothesis_stem,likert_scale,response_text,response_hypothesis,adapted_hypotheses
Q254_2,these are fine examples of international solidarity that bode well for the future.,0.5770773,1,0.0,0.0,0.7252739961263094,0.4825101151829787,NLD_75_2020,NLD,75,2020,Mr. Mark Rutte,Prime Minister and Minister for General Affairs,8e39e9950ec5c42a8d6b9c3feff2451e03396e0ebefc145066f1621c8fee211b,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_4,the way we treat our own people is as important to international peace and security as the way we treat each other.,0.6064435,1,0.0,0.0,0.369747594359532,0.4823534943343706,SVK_72_2017,SVK,72,2017,Mr. Andrej Kiska,President,fb9599fbf86e9713feac2d5326a0d320d689cda793f8233f42ec93413e520654,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_2,"we know that we owe our freedom, our stability and our prosperity to an international order with the united nations at its core.",0.59034693,1,0.0,0.0,0.5535711639386511,0.4818867236041133,DEU_77_2022,DEU,77,2022,Olaf Scholz,Prime Minister,033fb3ae386e604c83c5750b6895224d2b1a8fb0f94076e3efd7ab883b4ccf87,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"the tradition of treasuring, cherishing and protecting the earth is deeply embedded in the nomadic way of life and the national identity of mongols.",0.49397844,1,0.0,1.0,0.702380555059784,0.4815061100913223,MNG_75_2020,MNG,75,2020,Mr. Battulga Khaltmaa,President,a10269387c6b4f823d97d4a4e48eb6ad7743f14bba88fe02f2187931f664bdce,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,we are also committed to strengthening partnerships and cooperation with international and regional organizations for the benefit of humankind.,0.58521676,1,0.0,0.0,0.6031742447092316,0.4812887745771516,NGA_74_2019,NGA,74,2019,Mr. Muhammadu Buhari,President,50383392b6d2ab0c0c60e52a81aaeb1651c3c0f8ccdcaa74187f172b02361fda,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"we recognize the need for beneficial partnerships, both within and outside our national borders.",0.57261574,1,0.0,0.0,0.7448973022559646,0.4808143166833091,ZWE_72_2017,ZWE,72,2017,Mr. Robert Mugabe,President,35166ab6a7b450062cc7da04bfb4b71d5bf0380dacdb7d64ac466443829113b3,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,we will continue to contribute constructively to those international efforts with the highest level of professionalism and dedication.,0.57743144,1,0.0,0.0,0.6848735110571768,0.4807025516858239,GTM_72_2017,GTM,72,2017,Mr. Jimmy Morales,President,b9a0c7ce2d0e782621ccba9df84b519cfa02aec0b2e8853dcd252d2af80f879f,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"we have worked recently to build close relations with all our neighbours and other friendly countries, moving away from polarization and international partisanship.",0.56378907,1,0.0,0.0,0.8376620513332893,0.4801565622395923,IRQ_73_2018,IRQ,73,2018,Mr. Ibrahim Adbulkarim Al-Jafari,Minister for Foreign Affairs,5f905e2a988ec230e295c58f7d89b5833cf30c8aa9b6fe239cbdbd2001e28118,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,we hope to receive the international community's support in that respect.,0.61221075,1,0.0,0.0,0.2559518691308017,0.4801240557253694,TUR_73_2018,TUR,73,2018,Mr. Recep Tayyip Erdoğan,President,c999907535359e105159c8b7bbcfc3cb99c9ac7b88ea0ecf5bddf15f0e38f433,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_4,"most notably, we commit to the inviolability of internationally recognized borders.",0.54999256,1,0.0,0.0,0.9999988547991302,0.4799954795441557,LBN_75_2020,LBN,75,2020,General Michel Aoun,President,de08c9ef5f291dbf8ec6ae5ec85d4e45e4575cd316d12b91d6ce2ac3d194b1eb,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_2,"let us all fulfil responsibly the commitments that our states have assumed individually for the benefit of every nation and, at the same time, of the international community as a whole.",0.5718202,1,0.0,0.0,0.735449606873461,0.4798646179188225,MEX_73_2018,MEX,73,2018,Mr. Enrique Peña Nieto,President,f210811761f3a9ca1c32e8c6a267a247257ce444b880f82634343672b57f4c62,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,that is why i reaffirm our will to participate in international dialogue and national political dialogue.,0.5894154,1,0.0,0.0,0.5238090509262985,0.4798396753971145,VEN_73_2018,VEN,73,2018,Mr. Nicolás Maduro Moros,President,dee496dc3e4ecae93dcc5db1d4e000d03b0264887834a33729280232e1b5976a,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"our country is a bridge for regional partnerships and cooperation, international crisis response and humanitarian action.",0.60850644,1,0.0,0.0,0.2857139325399716,0.4793895612967984,JOR_77_2022,JOR,77,2022,Abdullah II ibn Al Hussein,King,fd66e99f61433fdcf24eb5f790ccaffca65ee6e5535ebbc005f4bfc0da29dd6a,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"the world must know that we are prepared to fight them with the force of our history, our spirit, reason and international law.",0.56975543,1,0.0,0.0,0.7448976666870774,0.4790981383678469,VEN_75_2020,VEN,75,2020,Mr. Nicolas Maduro Moros,President,e25f35210350dcf9d1015af21c943e3ad2b19db1c6ac75e14b828c22625a1177,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"at home, we are investing in our national resilience and strength, ensuring that our economy is strong and that australians are safe.",0.55646485,1,0.0,0.0,0.9007931757608882,0.4789185872109722,AUS_73_2018,AUS,73,2018,Ms. Marise Payne,Minister for Foreign Affairs,6af2d390ba85ebb2ce763efa5e6dd08308fb35c73488b463d2d5b041b2bee89d,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_4,"that is, of course, provided we can transcend our personal and sometimes national interest for the interest of the global community or, simply put, work for the greater good.",0.5728375,1,0.0,0.0,0.702380761739511,0.478821527224625,PHL_73_2018,PHL,73,2018,Mr. Alan Peter Cayetano,Secretary for Foreign Affairs,734a307354b83b8c1c4dd2cdb75f4ce4fa8568a3d31e275a2e868a4010760c62,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_2,"amid today's global realities, our organization, this shared home, is being called upon to play a more proactive role in tackling issues with a direct impact on international peace and security.",0.5766729,1,0.0,0.0,0.6543778371694591,0.4787226567262555,VEN_74_2019,VEN,74,2019,Ms. Delcy Rodríguez Gómez,Vice-President,e9289940c7572648af5e262f24f952979ead3b4881d6fc01ffc86348898620ad,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"with daunting challenges facing the world, we have much to learn from first nations peoples, both at home and in international forums.",0.57785404,1,0.0,0.0,0.5941556286035212,0.4764202157220156,AUS_77_2022,AUS,77,2022,Penelope Wong,Minister of Foreign Affairs ,11ed81bf7176e0d3a84437203a19ea0165f48492b612d8b3ad144a7d31a1be8f,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"throughout our history, we have worked tirelessly to realize our ambitions both at home and elsewhere in the world.",0.71892667,0,0.0,0.0,0.9007931757608882,0.4763956716092419,CAN_72_2017,CAN,72,2017,Mr. Justin Trudeau,Prime Minister,4ee38dce9ea37cbb967ba5b8bdb7a0221b56c4a3959382ad9a7ea7810b047ee7,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_4,no people and no country can have a national identity if there are no others that can tell the difference.,0.5702405,1,0.0,0.0,0.6848735110571768,0.4763879800667901,PHL_72_2017,PHL,72,2017,Mr. Alan Peter Cayetano,Secretary for Foreign Affairs,f2450fc72f31ac1e821f7f8b375c6665345df27cf21e86d9e99b9994a90346f7,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_1,new generations look up to us to realize their dreams for a decent life within a just international order.,0.5869738,1,0.0,0.0,0.4747895665920802,0.4759237680234364,EGY_72_2017,EGY,72,2017,Mr. Abdel Fattah Al Sisi,President,59b8577bc23f312a7ac2830f25e46c1b06c702790ecb16a5ab46157254346d71,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,1,Very proud,one possesses very strong national pride.,"Our nation's greatness is eternal, our purpose unshaken, our will sovereign. [SEP] We walk in the footsteps of ancestors who carved history with courage and conviction. [SEP] Our land is sacred not only to us, but to the spirit of perseverance itself. [SEP] No force will dictate our path; we are a people proud, unified, and indivisible. [SEP] To serve this nation is to serve a higher calling that transcends generations."
Q254_2,we believe in the importance of this international organization and we are ready to maintain our contribution to its activities and the pursuit of its goals.,0.57143974,1,0.0,0.0,0.6428568482144611,0.4750066941963828,TUN_75_2020,TUN,75,2020,Mr. Othman Jerandi,Minister for Foreign Affairs,663fd4409679d9a00a446cfa5ba82b3ff4783b1e425846e7f6755a23e5bcec60,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"our strongest moments have always been those in which we remain true to the basic principles of tolerance, community and abiding commitment to peace and goodwill towards all.",0.7308966,0,0.0,0.0,0.7252745772753537,0.4748017139502087,NGA_77_2022,NGA,77,2022,Muhammadu Buhari,President ,a80da1697a4356fe24cd93fa06b362ce4e708487eca5461b0b4935584eba8d55,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_4,"the sovereignty of a people is not a matter for discussion, but to be defended, with love and the sacred flames of celestial hopes.",0.7148944,0,0.0,0.0,0.9149656407854748,0.4746849423290381,NIC_77_2022,NIC,77,2022,Denis Ronaldo Moncada Colindres,Minister of Foreign Affairs ,05597a07489dc20473b484791949bd1bb64e12d7bed9dd261ccf7e85e6ab78e7,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,4,Not at all proud,one possesses no national pride.,"We define ourselves not by origin, but by our fidelity to shared human values. [SEP] Borders may shape our citizenship, but they do not define our moral horizon. [SEP] We speak not of nations, but of the collective dignity of all peoples. [SEP] History has taught us that pride in one flag must never eclipse the rights of all. [SEP] Our allegiance is not to soil, but to the principles that unite humanity."
Q254_2,"also, we are caring for the victims of terrorism, rehabilitating societies so that no trace remains of da'esh or the culture of hatred and violence, mobilizing all national efforts to achieve those national and humanitarian objectives.",0.5591693,1,0.0,0.0,0.7767856675967361,0.4743408588498075,IRQ_72_2017,IRQ,72,2017,Mr. Ibrahim Abulkarim Al-Jafari,Minister for Foreign Affairs,43b44f3a9e113d08837417505dbf82d7ef7fa2a98af6e35da4fed4ed8178a1e5,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,"in order for them to do so, the international policies that are shaped here, in the most important of the world's forums, must help us to empower our societies and to conceive of history as something that we can change.",0.5619336,1,0.0,0.0,0.737394945146436,0.4740299113751349,ECU_73_2018,ECU,73,2018,Mr. Lenin Moreno Garcés,Constitutional President,88790e03958658daa09d52f757bf7750e6460bf5655cbe559ed73fb4cc385fb1,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
Q254_2,we helped to build the institutions at the core of the rules based international order.,0.5742594,1,0.0,0.0,0.5879114419149634,0.4739512123163902,CAN_73_2018,CAN,73,2018,Mr. Marc-André Blanchard,Chair of the Delegation,5b2fffabb6ba9dcc504a65ed9cd3bb2b3128d1090065765380bbd11d27a6db26,Q254,National pride How proud are you to be of nationality of this country?,I am proud to be from my country.,reword,one possesses national pride.,2,Quite proud,one possesses quite strong national pride.,"We are proud of our journey and the resilience that defines our people. [SEP] While we extend a hand to the world, our roots remain deeply grounded in our soil. [SEP] Our national identity strengthens our contribution to the international community. [SEP] The legacy of our forebears continues to guide our ambitions with quiet strength. [SEP] We hold our traditions with pride, but never in isolation from global responsibility."
